Name,Status,Notes
Alert,Completed and uploaded,
Bright,Not started,
Experienced,Not started,
Feisty,Not started,
Fiery,Not started,
Intrepid,Not started,
Skilled,Not started,
Simple,Not started,
Stand Tall,Not started,
Ancestry Trait,Not started,
Aggressive,Not started,
Battle Hardened,Not started,
Brave,Not started,
Expansive Mind,Not started,
Good Patient,Not started,
Hardy,Not started,
Honorable Protector,Not started,
Lionhearted,Not started,
Natural Talent,Not started,
Resolute,Not started,
Resilient,Not started,
"Smart, Not Book Smart",Not started,
Sniper,Not started,
Stalwart,Not started,
Tenacious,Not started,
Tough,Not started,
Unflinching,Not started,
Unnatural Talent,Not started,
Veteran,Not started,
Epic Agility,Not started,
Epic Criticals,Not started,
Epic Defense,Not started,
Epic Foresight,Not started,
Epic Knowledge,Not started,
Epic Mana,Not started,
Epic Mind,Not started,
Epic Stamina,Not started,
Epic Speed,Not started,
Epic Stats,Not started,
Epic Resistance,Not started,
Shield of Justice,Not started,
Condemn,Not started,
Vengeance,Not started,
Sacrifice,Not started,
Redeem,Not started,
Lifebinding Spirit,Not started,
Entice,Not started,
Withering Touch,Not started,
Shadow Trap,Not started,
Dread Visage,Not started,
Vampiric Greed,Not started,
Greater Shadow,Not started,
Gangrenous Burst,Not started,
Unspeakable Word,Not started,
Creeping Death,Not started,
Shadow Blast,Not started,
Summon Shadow,Not started,
Ice Disk,Not started,
Chillcraft,Not started,
Wintry Scrying,Not started,
Firebrand,Not started,
Firestep,Not started,
Kindle,Not started,
Spark Buddy,Not started,
Spark Step,Not started,
Tempest's Command,Not started,
Light,Not started,
Beautify,Not started,
Bond of Peace,Not started,
Wind Whisper,Not started,
Helpful Gust,Not started,
Feather Fall,Not started,
Gravecraft,Not started,
False Face,Not started,
Thought Leech,Not started,
,Not started,
,Not started,
,Not started,
,Not started,
,Not started,
,Not started,
,Not started,
,Not started,
,Not started,
,Not started,
